gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,tenure_group,TenureMonthlyRatio,AvgRevenuePerMonth,TotalServices,HighRiskCustomer,Gender_Label,Contract_Label,Internet_Service_Label,Payment_Method_Label,Churn_Status,Tenure_Group
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,41.96071428571429,2,0.2551521099116781,41.96071428571429,0,0,Male,Month-to-month,DSL,Mailed check,Stayed,1-2 Years
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,19.223529411764705,2,0.8020050125313284,19.223529411764705,0,0,Male,Two year,No Internet,Credit card,Stayed,1-2 Years
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,96.28983050847458,4,0.5722742969906266,96.28983050847458,0,0,Male,One year,Fiber optic,Credit card,Stayed,4+ Years
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,100.726,4,0.4680038204393505,100.726,0,0,Male,Month-to-month,Fiber optic,Bank transfer,Churned,4+ Years
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,103.3096153846154,3,0.2347417840375587,103.3096153846154,0,0,Male,Month-to-month,Fiber optic,Electronic check,Stayed,2-4 Years
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,112.78785714285712,4,0.6039387308533917,112.78785714285712,0,0,Female,Two year,Fiber optic,Credit card,Stayed,4+ Years
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,19.300943396226412,4,2.401847575057737,19.300943396226412,0,0,Female,One year,No Internet,Mailed check,Stayed,4+ Years
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,102.53125,4,0.659238625812442,102.53125,0,0,Male,Two year,Fiber optic,Bank transfer,Stayed,4+ Years
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,48.03181818181818,1,0.1779359430604982,48.03181818181818,0,0,Female,Month-to-month,DSL,Credit card,Churned,6-12 Months
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,84.67727272727274,2,0.2306425041186161,84.67727272727274,0,0,Female,Month-to-month,Fiber optic,Electronic check,Stayed,1-2 Years
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,19.825,1,0.02460024600246,19.825,0,0,Male,Month-to-month,DSL,Electronic check,Churned,0-6 Months (High Risk)
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,15.557692307692308,1,0.5769230769230769,15.557692307692308,0,0,Male,One year,No Internet,Bank transfer,Stayed,6-12 Months
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,10.075,1,0.0472813238770685,10.075,0,0,Male,Month-to-month,No Internet,Mailed check,Churned,0-6 Months (High Risk)
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,59.40847457627118,4,0.9523809523809524,59.40847457627118,0,0,Female,Two year,DSL,Credit card,Stayed,4+ Years
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,59.406000000000006,4,0.8085808580858086,59.406000000000006,0,0,Male,Month-to-month,DSL,Credit card,Stayed,4+ Years
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,49.37419354838709,3,0.5328596802841918,49.37419354838709,0,0,Female,Month-to-month,DSL,Bank transfer,Stayed,2-4 Years
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,98.940625,3,0.4683607374190334,98.940625,0,0,Male,Month-to-month,Fiber optic,Electronic check,Churned,2-4 Years
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,15.1,1,0.032051282051282,15.1,0,0,Male,Month-to-month,DSL,Electronic check,Churned,0-6 Months (High Risk)
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,87.2527397260274,4,0.7890410958904109,87.2527397260274,0,0,Male,Two year,DSL,Credit card,Stayed,4+ Years
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,60.727777777777774,2,0.258751902587519,60.727777777777774,0,0,Female,Month-to-month,DSL,Mailed check,Churned,1-2 Years
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,93.98541666666668,4,0.7293271700051361,93.98541666666668,0,0,Female,Two year,Fiber optic,Credit card,Stayed,4+ Years
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,60.55,1,0.0207253886010362,60.55,0,0,Male,Month-to-month,Fiber optic,Credit card,Stayed,0-6 Months (High Risk)
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,66.94464285714285,3,0.402084884586746,66.94464285714285,0,0,Female,One year,DSL,Mailed check,Stayed,2-4 Years
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0,10.1,1,0.0471698113207547,10.1,0,0,Male,Month-to-month,No Internet,Bank transfer,Stayed,0-6 Months (High Risk)
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,22.625,1,0.0216216216216216,22.625,0,0,Male,Month-to-month,DSL,Bank transfer,Stayed,0-6 Months (High Risk)
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,99.33835616438355,4,0.7135777998017839,99.33835616438355,0,0,Female,Two year,Fiber optic,Bank transfer,Stayed,4+ Years
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,52.81666666666666,1,0.0707213578500707,52.81666666666666,0,0,Male,Month-to-month,Fiber optic,Electronic check,Churned,0-6 Months (High Risk)
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,75.49574468085106,3,0.6068601583113457,75.49574468085106,0,0,Female,Month-to-month,Fiber optic,Credit card,Stayed,2-4 Years
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,101.40714285714286,3,0.3167210060549604,101.40714285714286,0,0,Male,Month-to-month,Fiber optic,Electronic check,Churned,2-4 Years
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,92.11666666666667,1,0.1112797167425392,92.11666666666667,0,0,Female,Month-to-month,Fiber optic,Bank transfer,Churned,6-12 Months
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,43.24545454545454,1,0.1978239366963402,43.24545454545454,0,0,Male,One year,DSL,Mailed check,Stayed,6-12 Months
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,68.62464788732395,4,0.9971509971509972,68.62464788732395,0,0,Female,Two year,DSL,Credit card,Stayed,4+ Years
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,23.23611111111111,2,0.7816091954022989,23.23611111111111,0,0,Female,One year,No Internet,Mailed check,Stayed,1-2 Years
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,75.96015625,4,0.7792207792207793,75.96015625,0,0,Female,Two year,DSL,Credit card,Stayed,4+ Years
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0,70.10357142857143,2,0.1683937823834196,70.10357142857143,0,0,Female,Month-to-month,DSL,Electronic check,Stayed,1-2 Years
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,78.134,4,0.5730994152046783,78.134,0,0,Female,Month-to-month,Fiber optic,Electronic check,Stayed,4+ Years
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,32.333333333333336,1,0.0398009950248756,32.333333333333336,0,0,Male,Month-to-month,DSL,Mailed check,Stayed,0-6 Months (High Risk)
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,48.05,1,0.024494794856093,48.05,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,0-6 Months (High Risk)
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,79.5811320754717,4,0.6439628482972136,79.5811320754717,0,0,Male,Two year,DSL,Credit card,Stayed,4+ Years
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,60.77285714285715,4,1.059094397544129,60.77285714285715,0,0,Female,Two year,DSL,Credit card,Stayed,4+ Years
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0,87.24431818181819,3,0.4712328767123288,87.24431818181819,0,0,Female,Month-to-month,Fiber optic,Electronic check,Stayed,2-4 Years
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,89.15,2,0.1498501498501498,89.15,0,0,Female,Month-to-month,Fiber optic,Credit card,Churned,1-2 Years
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,67.40961538461539,3,0.3546099290780142,67.40961538461539,0,0,Female,Month-to-month,DSL,Credit card,Stayed,2-4 Years
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,70.36666666666666,1,0.0979791794243723,70.36666666666666,0,0,Female,Month-to-month,Fiber optic,Credit card,Churned,6-12 Months
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,73.05491803278689,4,0.7910349373764008,73.05491803278689,0,0,Female,One year,DSL,Credit card,Stayed,4+ Years
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,92.23947368421052,2,0.1866251944012441,92.23947368421052,0,0,Male,Month-to-month,Fiber optic,Electronic check,Churned,1-2 Years
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,98.6125,4,0.6259314456035767,98.6125,0,0,Female,One year,Fiber optic,Credit card,Stayed,4+ Years
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,105.61716417910448,4,0.6030150753768844,105.61716417910448,0,0,Male,One year,Fiber optic,Electronic check,Stayed,4+ Years
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,25.55142857142857,3,1.3102119460500965,25.55142857142857,0,0,Female,Two year,No Internet,Credit card,Stayed,2-4 Years
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0,107.58493150684932,4,0.663594470046083,107.58493150684932,0,0,Female,Two year,Fiber optic,Credit card,Stayed,4+ Years
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,98.06458333333336,3,0.4630541871921182,98.06458333333336,0,0,Female,Month-to-month,Fiber optic,Electronic check,Stayed,2-4 Years
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,89.35573770491803,4,0.6600660066006601,89.35573770491803,0,0,Male,Month-to-month,Fiber optic,Bank transfer,Stayed,4+ Years
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,40.57534246575342,4,1.6705336426914152,40.57534246575342,0,0,Male,Two year,DSL,Bank transfer,Stayed,4+ Years
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0,50.37368421052632,2,0.3249097472924188,50.37368421052632,0,0,Female,One year,DSL,Credit card,Stayed,1-2 Years
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,85.725,1,0.0943396226415094,85.725,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,6-12 Months
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0,61.025,1,0.0393184796854521,61.025,0,0,Female,Month-to-month,DSL,Electronic check,Stayed,0-6 Months (High Risk)
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,76.04895833333333,3,0.588235294117647,76.04895833333333,0,0,Male,One year,Fiber optic,Electronic check,Stayed,2-4 Years
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,78.0375,3,0.3865336658354114,78.0375,0,0,Female,Two year,DSL,Mailed check,Stayed,2-4 Years
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,18.25294117647059,4,2.364066193853428,18.25294117647059,0,0,Female,Two year,No Internet,Bank transfer,Stayed,4+ Years
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0,80.66818181818182,1,0.1236858379715522,80.66818181818182,0,0,Male,Month-to-month,Fiber optic,Mailed check,Stayed,6-12 Months
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0,24.525,1,0.0199800199800199,24.525,0,0,Male,Month-to-month,DSL,Mailed check,Stayed,0-6 Months (High Risk)
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,20.578301886792456,4,2.429906542056075,20.578301886792456,0,0,Female,One year,No Internet,Electronic check,Stayed,4+ Years
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,109.21538461538462,4,0.5683836589698047,109.21538461538462,0,0,Male,Two year,Fiber optic,Bank transfer,Stayed,4+ Years
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0,22.61269841269841,4,2.4554455445544554,22.61269841269841,0,0,Male,Two year,No Internet,Bank transfer,Stayed,4+ Years
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0,44.35,1,0.0458015267175572,44.35,0,0,Female,Month-to-month,DSL,Bank transfer,Stayed,0-6 Months (High Risk)
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,107.71052631578948,4,0.5022421524663677,107.71052631578948,0,0,Female,One year,Fiber optic,Electronic check,Stayed,4+ Years
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,57.2095744680851,3,0.8120035304501324,57.2095744680851,0,0,Female,One year,DSL,Credit card,Stayed,2-4 Years
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0,53.583333333333336,1,0.1437556154537286,53.583333333333336,0,0,Female,Month-to-month,DSL,Mailed check,Stayed,6-12 Months
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,68.10645161290323,3,0.396039603960396,68.10645161290323,0,0,Male,Month-to-month,DSL,Electronic check,Stayed,2-4 Years
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0,26.44782608695652,3,1.6728624535315986,26.44782608695652,0,0,Female,One year,No Internet,Credit card,Stayed,2-4 Years
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,39.675,1,0.0124455507156191,39.675,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,0-6 Months (High Risk)
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0,47.1125,1,0.2133850630455868,47.1125,0,0,Female,Month-to-month,DSL,Electronic check,Stayed,6-12 Months
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,62.1125,1,0.0919238345370978,62.1125,0,0,Female,Month-to-month,Fiber optic,Bank transfer,Churned,6-12 Months
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,100.63953488372093,3,0.4007633587786259,100.63953488372093,0,0,Female,Month-to-month,Fiber optic,Bank transfer,Stayed,2-4 Years
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0,19.467,4,2.31678486997636,19.467,0,0,Female,Two year,No Internet,Bank transfer,Stayed,4+ Years
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0,91.875,1,0.0897308075772682,91.875,0,0,Male,Month-to-month,Fiber optic,Credit card,Stayed,6-12 Months
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,61.540277777777774,3,0.5542359461599367,61.540277777777774,0,0,Female,One year,DSL,Bank transfer,Stayed,2-4 Years
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0,21.571428571428573,3,2.217090069284065,21.571428571428573,0,0,Female,Two year,No Internet,Bank transfer,Stayed,2-4 Years
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,19.72553191489362,3,2.195704057279237,19.72553191489362,0,0,Female,Two year,No Internet,Mailed check,Stayed,2-4 Years
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,33.641666666666666,3,0.8345323741007195,33.641666666666666,0,0,Male,Month-to-month,DSL,Mailed check,Stayed,2-4 Years
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,82.90967741935484,3,0.3612281757977122,82.90967741935484,0,0,Male,Month-to-month,Fiber optic,Bank transfer,Stayed,2-4 Years
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0,37.35,1,0.0132100396301188,37.35,0,0,Male,Month-to-month,Fiber optic,Electronic check,Stayed,0-6 Months (High Risk)
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,85.28731343283582,4,0.7764705882352941,85.28731343283582,0,0,Male,Two year,DSL,Mailed check,Stayed,4+ Years
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0,107.6818181818182,4,0.5800981704596162,107.6818181818182,0,0,Female,Month-to-month,Fiber optic,Credit card,Stayed,4+ Years
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,102.17876712328768,4,0.7065750736015701,102.17876712328768,0,0,Male,Two year,Fiber optic,Bank transfer,Stayed,4+ Years
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,71.33461538461539,1,0.1500938086303939,71.33461538461539,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,6-12 Months
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0,65.95416666666667,4,1.0464259395725868,65.95416666666667,0,0,Male,One year,DSL,Credit card,Stayed,4+ Years
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,18.975,1,0.2267573696145124,18.975,0,0,Male,Month-to-month,No Internet,Mailed check,Churned,0-6 Months (High Risk)
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,20.89056603773585,4,2.363636363636364,20.89056603773585,0,0,Male,Two year,No Internet,Bank transfer,Stayed,4+ Years
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,96.71153846153848,3,0.2512562814070351,96.71153846153848,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,2-4 Years
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0,10.1,1,0.0471698113207547,10.1,0,0,Male,Month-to-month,No Internet,Mailed check,Stayed,0-6 Months (High Risk)
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,0,9.725,1,0.0488997555012225,9.725,0,0,Female,Month-to-month,No Internet,Electronic check,Stayed,0-6 Months (High Risk)
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,92.45128205128204,3,0.3958333333333333,92.45128205128204,0,0,Male,One year,Fiber optic,Bank transfer,Stayed,2-4 Years
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0,45.18283582089552,4,1.4178302900107411,45.18283582089552,0,0,Female,One year,DSL,Bank transfer,Stayed,4+ Years
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,110.31666666666668,4,0.6126126126126126,110.31666666666668,0,0,Male,Two year,Fiber optic,Bank transfer,Churned,4+ Years
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0,16.7,1,0.1976284584980237,16.7,0,0,Male,Month-to-month,DSL,Mailed check,Stayed,0-6 Months (High Risk)
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0,100.0417808219178,4,0.6847360912981455,100.0417808219178,0,0,Female,One year,Fiber optic,Electronic check,Stayed,4+ Years
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0,28.11060606060606,3,1.027287319422151,28.11060606060606,0,0,Female,One year,DSL,Mailed check,Stayed,2-4 Years
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,89.12045454545455,3,0.4509701101206083,89.12045454545455,0,0,Male,One year,Fiber optic,Mailed check,Stayed,2-4 Years
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0,18.67465753424657,4,3.5294117647058827,18.67465753424657,0,0,Male,Two year,No Internet,Credit card,Stayed,4+ Years
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,93.55178571428571,4,0.5626598465473146,93.55178571428571,0,0,Male,Month-to-month,Fiber optic,Electronic check,Churned,4+ Years
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0,57.40094339622642,4,0.8821034775233249,57.40094339622642,0,0,Female,One year,DSL,Credit card,Stayed,4+ Years
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0,89.86590909090908,3,0.464112250404749,89.86590909090908,0,0,Female,Month-to-month,Fiber optic,Electronic check,Stayed,2-4 Years
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,75.47763157894737,3,0.4774193548387097,75.47763157894737,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,2-4 Years
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0,52.66923076923077,4,1.1510791366906474,52.66923076923077,0,0,Female,Two year,DSL,Electronic check,Stayed,4+ Years
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0,62.1,1,0.0330214639515685,62.1,0,0,Male,Month-to-month,Fiber optic,Electronic check,Stayed,0-6 Months (High Risk)
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0,30.44189189189189,3,1.123244929797192,30.44189189189189,0,0,Female,Two year,DSL,Bank transfer,Stayed,2-4 Years
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,96.78636363636365,1,0.0987654320987654,96.78636363636365,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,6-12 Months
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0,19.88452380952381,3,1.8937644341801387,19.88452380952381,0,0,Female,Two year,No Internet,Mailed check,Stayed,2-4 Years
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0,76.84285714285714,3,0.3132250580046403,76.84285714285714,0,0,Male,Month-to-month,Fiber optic,Credit card,Stayed,2-4 Years
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0,96.76228070175438,4,0.5555555555555556,96.76228070175438,0,0,Female,One year,Fiber optic,Credit card,Stayed,4+ Years
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0,16.107142857142858,1,0.2764976958525346,16.107142857142858,0,0,Female,Month-to-month,No Internet,Mailed check,Stayed,0-6 Months (High Risk)
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,57.3875,1,0.039787798408488,57.3875,0,0,Male,Month-to-month,Fiber optic,Electronic check,Churned,0-6 Months (High Risk)
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0,43.79375,1,0.1353965183752417,43.79375,0,0,Female,Month-to-month,DSL,Mailed check,Stayed,6-12 Months
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0,12.58,1,0.183066361556064,12.58,0,0,Female,Month-to-month,No Internet,Mailed check,Stayed,0-6 Months (High Risk)
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0,89.0485294117647,3,0.3668704836020011,89.0485294117647,0,0,Male,Two year,Fiber optic,Electronic check,Stayed,2-4 Years
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,76.26785714285714,3,0.3415559772296015,76.26785714285714,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,2-4 Years
